Sample_id,Sample_Name,Reservoir,Date,Station,Depth,Rep,Dilution,Fmax1,Fmax2,Fmax3,Fmax4
30,p_20200221_F27Sep19_0.1R1_Dil.csv,FCR,9/27/2019,50,0.1,1,2,0.613636292,0.923508183,0.252537622,0.703062902
31,p_20200221_F27Sep19_0.1R2_Dil.csv,FCR,9/27/2019,50,0.1,2,2,0.615966232,0.957295902,0.315102182,0.698187844
32,p_20200221_F27Sep19_5R1_Dil.csv,FCR,9/27/2019,50,5,1,2,0.481361863,0.650960282,1.191906401,0.330852277
33,p_20200221_F27Sep19_5R2_Dil.csv,FCR,9/27/2019,50,5,2,2,0.59169182,0.57928589,1.281013716,0.340449909
215,p_F27Sep19_9R1_Dil.csv,FCR,9/27/2019,50,9,1,2,0.455782191,0.445157537,0.602527852,0.322258558
34,p_20200221_F27Sep19_9R2.csv,FCR,9/27/2019,50,9,2,1,0.342121644,0.491772404,0.374046638,0.202228364
53,p_B04Oct19_01_R2.csv,BVR,10/4/2019,1,0.1,2,1,0.404779389,0.544645031,0.238928866,0.315604224
56,p_B04Oct19_20_R2.csv,BVR,10/4/2019,20,0.1,2,1,0.405731292,0.555402038,0.148449836,0.315851377
57,p_B04Oct19_30_R2.csv,BVR,10/4/2019,30,0.1,2,1,0.417000198,0.581773168,0.205554344,0.327001643
58,p_B04Oct19_45_R2.csv,BVR,10/4/2019,45,0.1,2,1,0.402854773,0.531371824,0.188817254,0.297819893
59,p_B04Oct19_50_R1.csv,BVR,10/4/2019,50,0.1,1,1,0.394748699,0.535810581,0.182264844,0.309750903
54,p_B04Oct19_100_R1.csv,BVR,10/4/2019,100,0.1,1,1,0.76439207,0.704698528,0.652012137,0.118160981
55,p_B04Oct19_200_R1.csv,BVR,10/4/2019,200,0.1,1,1,0.477218839,0.618308572,0.143838524,0.140444006
107,p_F04Oct19_01_R2.csv,FCR,10/4/2019,1,0.1,2,1,0.359688922,0.414972472,0.270281358,0.100653811
112,p_F04Oct19_20_R2.csv,FCR,10/4/2019,20,0.1,2,1,0.632757888,0.825994563,0.676444877,0.866210836
113,p_F04Oct19_30_R2.csv,FCR,10/4/2019,30,0.1,2,1,0.650215731,0.75115761,0.374730913,1.127297014
114,p_F04Oct19_45_R2.csv,FCR,10/4/2019,45,0.1,2,1,0.718146242,0.732379976,0.752159126,0.98006242
118,p_F04Oct19_Surf_R1.csv,FCR,10/4/2019,50,0.1,1,1,0.664474737,0.686010998,0.685197247,0.839711677
