i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
14,'p_20190930_F14Aug19_5m_R1_Dil.csv',FCR,8/14/2019,50,5,1,0.48,25.48,0.63,33.74,0.43,23.17,0.33,17.61
15,'p_20190930_F14Aug19_9m_R2_Dil.csv',FCR,8/14/2019,50,9,2,0.43,24.76,0.68,39.43,0.38,22.15,0.24,13.67
16,'p_20190930_F14Aug19_9m_R2_DilFlt.csv',FCR,8/14/2019,50,9,2,0.41,25.78,0.64,40.11,0.27,17.06,0.27,17.04
141,'p_F19Aug19Surf_R1.csv',FCR,8/19/2019,50,0.1,1,0.69,27.81,0.84,33.68,0.35,13.87,0.61,24.63
142,'p_F19Aug19_5mR2.csv',FCR,8/19/2019,50,5,2,0.46,30.07,0.52,33.81,0.42,27.10,0.14,9.02
143,'p_F19Aug19_9mR1.csv',FCR,8/19/2019,50,9,1,0.36,25.35,0.56,39.56,0.31,22.09,0.19,13.00
36,'p_20200214_F19Aug19_9R2_Dil.csv',FCR,8/19/2019,50,9,2,1.26,29.89,2.01,47.70,0.38,9.04,0.56,13.36
144,'p_F19Aug19_Inf_R1.csv',FCR,8/19/2019,100,0.1,1,0.57,41.97,0.37,27.52,0.31,22.66,0.11,7.85
145,'p_F19Aug19_Wet_R2.csv',FCR,8/19/2019,200,0.1,2,1.09,42.63,0.85,33.33,0.46,18.15,0.15,5.89
78,'p_B22Aug19_01_R1.csv',BVR,8/22/2019,1,0.1,1,0.37,28.19,0.53,39.97,0.13,9.97,0.29,21.88
81,'p_B22Aug19_20_R1.csv',BVR,8/22/2019,20,0.1,1,0.38,27.95,0.51,37.26,0.18,13.43,0.29,21.37
82,'p_B22Aug19_30_R2.csv',BVR,8/22/2019,30,0.1,2,0.38,27.70,0.49,35.56,0.22,16.12,0.29,20.63
83,'p_B22Aug19_45_R1.csv',BVR,8/22/2019,45,0.1,1,0.39,29.68,0.50,38.69,0.15,11.53,0.26,20.09
84,'p_B22Aug19_50_R2.csv',BVR,8/22/2019,50,0.1,2,0.31,18.07,0.53,30.95,0.34,19.72,0.54,31.25
79,'p_B22Aug19_100_R2.csv',BVR,8/22/2019,100,0.1,2,0.80,45.44,0.59,33.50,0.25,14.10,0.12,6.96
80,'p_B22Aug19_200_R1.csv',BVR,8/22/2019,200,0.1,1,0.67,34.38,0.80,41.03,0.30,15.55,0.18,9.04
168,'p_F22Aug19_01_R2.csv',FCR,8/22/2019,1,0.1,2,0.51,36.23,0.61,43.66,0.09,6.52,0.19,13.59
173,'p_F22Aug19_20_R1.csv',FCR,8/22/2019,20,0.1,1,0.71,28.15,0.84,33.09,0.33,13.11,0.65,25.65
174,'p_F22Aug19_30_R1.csv',FCR,8/22/2019,30,0.1,1,0.65,28.23,0.82,35.52,0.28,12.21,0.55,24.04
175,'p_F22Aug19_45_R1.csv',FCR,8/22/2019,45,0.1,1,0.63,27.98,0.79,35.23,0.28,12.36,0.55,24.42
167,'p_F22Aug19_0.1R1.csv',FCR,8/22/2019,50,0.1,1,0.65,30.25,0.78,36.52,0.17,8.20,0.53,25.04
177,'p_F22Aug19_50_R2.csv',FCR,8/22/2019,50,0.1,2,0.64,29.93,0.77,36.30,0.16,7.48,0.56,26.29
176,'p_F22Aug19_5.0R1.csv',FCR,8/22/2019,50,5,1,0.50,25.36,0.65,32.81,0.48,24.39,0.34,17.44
178,'p_F22Aug19_5m_R2.csv',FCR,8/22/2019,50,5,2,0.56,23.52,0.53,22.39,1.04,43.61,0.25,10.48
180,'p_F22Aug19_9m_R1.csv',FCR,8/22/2019,50,9,1,0.54,25.94,0.57,27.44,0.71,33.96,0.26,12.66
17,'p_20190930_F22Aug19_9m_R2_Dil.csv',FCR,8/22/2019,50,9,2,0.46,22.60,0.68,33.32,0.59,29.07,0.31,15.00
179,'p_F22Aug19_99_R1.csv',FCR,8/22/2019,99,0.1,1,0.55,44.22,0.41,32.54,0.13,10.78,0.16,12.46
169,'p_F22Aug19_100_R1.csv',FCR,8/22/2019,100,0.1,1,0.59,45.16,0.35,27.00,0.22,16.67,0.15,11.17
170,'p_F22Aug19_101_R2.csv',FCR,8/22/2019,101,0.1,2,0.63,50.50,0.38,30.15,0.17,13.68,0.07,5.67
171,'p_F22Aug19_102_R1.csv',FCR,8/22/2019,102,0.1,1,0.10,14.23,0.08,11.61,0.37,50.98,0.17,23.19
172,'p_F22Aug19_200_R2.csv',FCR,8/22/2019,200,0.1,2,1.11,40.98,0.84,31.02,0.57,21.17,0.19,6.83
NA,NA,FCR,8/28/2019,50,0.1,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!
200,'p_F28Aug19_5.0R2.csv',FCR,8/28/2019,50,5,2,0.50,25.42,0.64,32.48,0.49,25.00,0.34,17.10
20,'p_20191115_F28Aug19_9R1_Dil.csv',FCR,8/28/2019,50,9,1,0.62,29.66,0.93,44.40,0.25,11.98,0.29,13.96
218,'p_F2Sep19_SurfR1_Dil.csv',FCR,9/2/2019,50,0.1,1,0.74,27.57,0.82,30.77,0.23,8.73,0.88,32.93
63,'p_2Sep19_5R1_Dil.csv',FCR,9/2/2019,50,5,1,0.53,29.16,0.68,36.97,0.18,9.97,0.44,23.89
42,'p_20200221_F2Sep19_9R1_Dil.csv',FCR,9/2/2019,50,9,1,1.61,27.03,1.67,28.06,1.45,24.33,1.23,20.58
217,'p_F2Sep19_Inf_R1.csv',FCR,9/2/2019,100,0.1,1,0.53,41.68,0.30,23.34,0.28,21.82,0.17,13.16
219,'p_F2Sep19_Wet_R2.csv',FCR,9/2/2019,200,0.1,2,0.92,38.70,0.83,34.71,0.22,9.41,0.41,17.18
19,'p_20191115_F11Sep19_0.1R1_Dil.csv',FCR,9/11/2019,50,0.1,1,0.58,31.58,0.85,45.65,0.02,1.07,0.40,21.71
125,'p_F11Sep19_5.0R2.csv',FCR,9/11/2019,50,5,2,0.38,22.03,0.50,29.48,0.49,28.49,0.34,20.00
126,'p_F11Sep19_9.0R2.csv',FCR,9/11/2019,50,9,2,0.31,27.70,0.51,45.72,0.09,7.91,0.21,18.67
61,'p_20200302_F20Sep19_Surf_R1_Dil.csv',FCR,9/20/2019,50,0.1,1,0.72,27.63,0.91,34.88,0.26,9.85,0.72,27.65
166,'p_F20Sep19_SurfR2_Dil.csv',FCR,9/20/2019,50,0.1,2,0.72,25.06,0.85,29.50,0.44,15.39,0.86,30.06
